row_no,mandator,provider_id,customer_id,syndicate_id,star1,star2,num_combi,n1,n2,n3,n4,n5,drawtype,drawdate,stake,currency,gametype
3902,JXC,JXC111409430,2241533,3468191,5,11,19~27~39~47~50,19,27,39,47,50,TU,01.01.2019,2.00,EUR,EUMI
3903,JXC,JXC111409430,2241533,3468191,8,11,11~20~27~42~48,11,20,27,42,48,TU,01.01.2019,2.00,EUR,EUMI
3904,JXC,JXC111409431,2241533,3468191,6,8,4~22~36~44~46,4,22,36,44,46,TU,01.01.2019,2.00,EUR,EUMI
3905,JXC,JXC111409431,2241533,3468191,6,7,16~22~27~36~43,16,22,27,36,43,TU,01.01.2019,2.00,EUR,EUMI
3906,JXC,JXC111409431,2241533,3468191,4,11,6~14~19~21~31,6,14,19,21,31,TU,01.01.2019,2.00,EUR,EUMI
3907,JXC,JXC111409431,2241533,3468191,11,12,10~17~29~36~46,10,17,29,36,46,TU,01.01.2019,2.00,EUR,EUMI
3908,JXC,JXC111409431,2241533,3468191,1,3,12~16~26~39~46,12,16,26,39,46,TU,01.01.2019,2.00,EUR,EUMI
3909,JXC,JXC111409433,2241533,3468191,6,12,9~28~30~38~50,9,28,30,38,50,TU,01.01.2019,2.00,EUR,EUMI
3910,JXC,JXC111409433,2241533,3468191,4,8,3~10~14~18~32,3,10,14,18,32,TU,01.01.2019,2.00,EUR,EUMI
3911,JXC,JXC111409433,2241533,3468191,9,12,7~32~41~43~50,7,32,41,43,50,TU,01.01.2019,2.00,EUR,EUMI
3912,JXC,JXC111409433,2241533,3468191,4,7,17~18~30~32~46,17,18,30,32,46,TU,01.01.2019,2.00,EUR,EUMI
3913,JXC,JXC111409433,2241533,3468191,2,8,11~19~38~44~50,11,19,38,44,50,TU,01.01.2019,2.00,EUR,EUMI
3914,JXC,JXC111409434,2241533,3468191,2,11,15~25~44~45~47,15,25,44,45,47,TU,01.01.2019,2.00,EUR,EUMI
3915,JXC,JXC111409434,2241533,3468191,5,7,10~14~17~26~41,10,14,17,26,41,TU,01.01.2019,2.00,EUR,EUMI
3916,JXC,JXC111409434,2241533,3468191,10,11,3~11~23~39~45,3,11,23,39,45,TU,01.01.2019,2.00,EUR,EUMI
3917,JXC,JXC111409434,2241533,3468191,2,3,4~9~13~43~48,4,9,13,43,48,TU,01.01.2019,2.00,EUR,EUMI
3918,JXC,JXC111409434,2241533,3468191,1,10,21~30~34~35~40,21,30,34,35,40,TU,01.01.2019,2.00,EUR,EUMI
3919,JXC,JXC111409435,2241533,3468191,3,12,14~35~42~48~49,14,35,42,48,49,TU,01.01.2019,2.00,EUR,EUMI
3920,JXC,JXC111409435,2241533,3468191,3,8,11~13~16~35~48,11,13,16,35,48,TU,01.01.2019,2.00,EUR,EUMI
3921,JXC,JXC111409435,2241533,3468191,1,8,17~40~42~43~44,17,40,42,43,44,TU,01.01.2019,2.00,EUR,EUMI
3922,JXC,JXC111409435,2241533,3468191,6,7,26~27~32~41~50,26,27,32,41,50,TU,01.01.2019,2.00,EUR,EUMI
3923,JXC,JXC111409435,2241533,3468191,4,5,11~18~30~42~49,11,18,30,42,49,TU,01.01.2019,2.00,EUR,EUMI
3924,JXC,JXC111409436,2241533,3468191,3,12,7~25~26~43~45,7,25,26,43,45,TU,01.01.2019,2.00,EUR,EUMI
3925,JXC,JXC111409436,2241533,3468191,7,11,7~26~38~43~46,7,26,38,43,46,TU,01.01.2019,2.00,EUR,EUMI
3926,JXC,JXC111409436,2241533,3468191,7,11,13~15~17~19~31,13,15,17,19,31,TU,01.01.2019,2.00,EUR,EUMI
3927,JXC,JXC111409436,2241533,3468191,2,6,5~8~33~37~46,5,8,33,37,46,TU,01.01.2019,2.00,EUR,EUMI
3928,JXC,JXC111409436,2241533,3468191,7,10,6~18~41~45~50,6,18,41,45,50,TU,01.01.2019,2.00,EUR,EUMI
3929,JXC,JXC111409437,2241533,3468191,4,6,2~14~21~33~44,2,14,21,33,44,TU,01.01.2019,2.00,EUR,EUMI
3930,JXC,JXC111409437,2241533,3468191,3,8,4~22~27~36~44,4,22,27,36,44,TU,01.01.2019,2.00,EUR,EUMI
3931,JXC,JXC111409437,2241533,3468191,4,5,4~7~12~32~35,4,7,12,32,35,TU,01.01.2019,2.00,EUR,EUMI
3932,JXC,JXC111409437,2241533,3468191,3,6,25~30~31~33~42,25,30,31,33,42,TU,01.01.2019,2.00,EUR,EUMI
3933,JXC,JXC111409437,2241533,3468191,3,4,11~30~34~39~44,11,30,34,39,44,TU,01.01.2019,2.00,EUR,EUMI
3934,JXC,JXC111409438,2241533,3468191,2,7,2~13~29~30~48,2,13,29,30,48,TU,01.01.2019,2.00,EUR,EUMI
3935,JXC,JXC111409438,2241533,3468191,2,11,2~18~24~39~48,2,18,24,39,48,TU,01.01.2019,2.00,EUR,EUMI
3936,JXC,JXC111409438,2241533,3468191,2,3,6~17~20~26~50,6,17,20,26,50,TU,01.01.2019,2.00,EUR,EUMI
3937,JXC,JXC111409438,2241533,3468191,6,9,1~16~29~35~43,1,16,29,35,43,TU,01.01.2019,2.00,EUR,EUMI
3938,JXC,JXC111409438,2241533,3468191,2,10,4~32~35~48~49,4,32,35,48,49,TU,01.01.2019,2.00,EUR,EUMI
3939,JXC,JXC111409440,2241533,3468191,8,12,25~31~35~40~48,25,31,35,40,48,TU,01.01.2019,2.00,EUR,EUMI
3940,JXC,JXC111409440,2241533,3468191,1,2,2~3~20~30~38,2,3,20,30,38,TU,01.01.2019,2.00,EUR,EUMI
3941,JXC,JXC111409440,2241533,3468191,2,6,2~16~26~35~42,2,16,26,35,42,TU,01.01.2019,2.00,EUR,EUMI
3942,JXC,JXC111409440,2241533,3468191,6,11,15~27~30~45~48,15,27,30,45,48,TU,01.01.2019,2.00,EUR,EUMI
3943,JXC,JXC111409440,2241533,3468191,9,10,11~14~22~32~50,11,14,22,32,50,TU,01.01.2019,2.00,EUR,EUMI
3944,JXC,JXC111409441,2241533,3468191,5,6,6~7~15~28~48,6,7,15,28,48,TU,01.01.2019,2.00,EUR,EUMI
3945,JXC,JXC111409441,2241533,3468191,2,12,2~12~13~16~31,2,12,13,16,31,TU,01.01.2019,2.00,EUR,EUMI
3946,JXC,JXC111409441,2241533,3468191,2,7,4~6~13~18~39,4,6,13,18,39,TU,01.01.2019,2.00,EUR,EUMI
3947,JXC,JXC111409441,2241533,3468191,3,4,1~12~25~39~41,1,12,25,39,41,TU,01.01.2019,2.00,EUR,EUMI
3948,JXC,JXC111409441,2241533,3468191,3,10,4~10~14~18~49,4,10,14,18,49,TU,01.01.2019,2.00,EUR,EUMI
3949,JXC,JXC111409442,2241533,3468191,4,7,1~4~34~36~43,1,4,34,36,43,TU,01.01.2019,2.00,EUR,EUMI
3950,JXC,JXC111409442,2241533,3468191,5,6,7~30~38~47~49,7,30,38,47,49,TU,01.01.2019,2.00,EUR,EUMI
3951,JXC,JXC111409442,2241533,3468191,2,3,10~30~31~41~44,10,30,31,41,44,TU,01.01.2019,2.00,EUR,EUMI
3952,JXC,JXC111409442,2241533,3468191,2,11,14~15~24~25~43,14,15,24,25,43,TU,01.01.2019,2.00,EUR,EUMI
3953,JXC,JXC111409442,2241533,3468191,4,5,15~19~31~37~40,15,19,31,37,40,TU,01.01.2019,2.00,EUR,EUMI
3954,JXC,JXC111409443,2241533,3468196,2,11,10~15~30~45~46,10,15,30,45,46,TU,01.01.2019,2.00,EUR,EUMI
3955,JXC,JXC111409443,2241533,3468196,8,9,4~21~29~46~48,4,21,29,46,48,TU,01.01.2019,2.00,EUR,EUMI
3956,JXC,JXC111409443,2241533,3468196,6,7,23~24~26~48~49,23,24,26,48,49,TU,01.01.2019,2.00,EUR,EUMI
3957,JXC,JXC111409443,2241533,3468196,4,8,5~7~10~11~23,5,7,10,11,23,TU,01.01.2019,2.00,EUR,EUMI
3958,JXC,JXC111409443,2241533,3468196,1,3,3~8~21~36~46,3,8,21,36,46,TU,01.01.2019,2.00,EUR,EUMI
3959,JXC,JXC111409444,2241533,3468196,2,7,1~13~36~38~46,1,13,36,38,46,TU,01.01.2019,2.00,EUR,EUMI
3960,JXC,JXC111409444,2241533,3468196,5,10,17~18~38~40~45,17,18,38,40,45,TU,01.01.2019,2.00,EUR,EUMI
3961,JXC,JXC111409444,2241533,3468196,2,3,1~14~42~43~50,1,14,42,43,50,TU,01.01.2019,2.00,EUR,EUMI
3962,JXC,JXC111409444,2241533,3468196,3,5,12~32~38~43~50,12,32,38,43,50,TU,01.01.2019,2.00,EUR,EUMI
3963,JXC,JXC111409445,2241533,3468196,4,7,4~15~19~22~30,4,15,19,22,30,TU,01.01.2019,2.00,EUR,EUMI
3964,JXC,JXC111409445,2241533,3468196,4,5,3~19~22~35~39,3,19,22,35,39,TU,01.01.2019,2.00,EUR,EUMI
3965,JXC,JXC111409445,2241533,3468196,6,11,2~7~10~22~34,2,7,10,22,34,TU,01.01.2019,2.00,EUR,EUMI
3966,JXC,JXC111409445,2241533,3468196,7,9,8~15~28~36~50,8,15,28,36,50,TU,01.01.2019,2.00,EUR,EUMI
3967,JXC,JXC111409445,2241533,3468196,7,10,7~19~20~22~27,7,19,20,22,27,TU,01.01.2019,2.00,EUR,EUMI
3968,JXC,JXC111409446,2241533,3468196,3,4,12~18~33~35~37,12,18,33,35,37,TU,01.01.2019,2.00,EUR,EUMI
3969,JXC,JXC111409446,2241533,3468196,8,11,1~15~18~44~46,1,15,18,44,46,TU,01.01.2019,2.00,EUR,EUMI
3970,JXC,JXC111409446,2241533,3468196,9,12,9~12~22~34~37,9,12,22,34,37,TU,01.01.2019,2.00,EUR,EUMI
3971,JXC,JXC111409446,2241533,3468196,3,10,3~8~22~44~50,3,8,22,44,50,TU,01.01.2019,2.00,EUR,EUMI
3972,JXC,JXC111409446,2241533,3468196,2,4,33~38~39~44~46,33,38,39,44,46,TU,01.01.2019,2.00,EUR,EUMI
3973,JXC,JXC111409448,2241533,3468196,3,8,20~35~38~43~48,20,35,38,43,48,TU,01.01.2019,2.00,EUR,EUMI
3974,JXC,JXC111409448,2241533,3468196,1,4,17~19~29~39~42,17,19,29,39,42,TU,01.01.2019,2.00,EUR,EUMI
3975,JXC,JXC111409448,2241533,3468196,7,11,9~21~24~43~47,9,21,24,43,47,TU,01.01.2019,2.00,EUR,EUMI
3976,JXC,JXC111409448,2241533,3468196,5,10,11~26~27~35~48,11,26,27,35,48,TU,01.01.2019,2.00,EUR,EUMI
3977,JXC,JXC111409448,2241533,3468196,8,9,1~7~30~35~44,1,7,30,35,44,TU,01.01.2019,2.00,EUR,EUMI
3978,JXC,JXC111409449,2241533,3468196,6,7,13~23~25~44~45,13,23,25,44,45,TU,01.01.2019,2.00,EUR,EUMI
3979,JXC,JXC111409449,2241533,3468196,2,5,2~13~28~29~32,2,13,28,29,32,TU,01.01.2019,2.00,EUR,EUMI
3980,JXC,JXC111409449,2241533,3468196,4,10,2~11~14~27~32,2,11,14,27,32,TU,01.01.2019,2.00,EUR,EUMI
3981,JXC,JXC111409449,2241533,3468196,1,3,1~3~11~46~49,1,3,11,46,49,TU,01.01.2019,2.00,EUR,EUMI
3982,JXC,JXC111409449,2241533,3468196,5,11,1~11~25~32~45,1,11,25,32,45,TU,01.01.2019,2.00,EUR,EUMI
3983,JXC,JXC111409451,2241533,3468196,1,2,13~34~38~40~41,13,34,38,40,41,TU,01.01.2019,2.00,EUR,EUMI
3984,JXC,JXC111409451,2241533,3468196,5,11,3~6~12~26~33,3,6,12,26,33,TU,01.01.2019,2.00,EUR,EUMI
3985,JXC,JXC111409451,2241533,3468196,6,11,12~15~22~31~49,12,15,22,31,49,TU,01.01.2019,2.00,EUR,EUMI
3986,JXC,JXC111409451,2241533,3468196,5,6,13~23~41~43~45,13,23,41,43,45,TU,01.01.2019,2.00,EUR,EUMI
3987,JXC,JXC111409451,2241533,3468196,3,4,4~6~7~9~47,4,6,7,9,47,TU,01.01.2019,2.00,EUR,EUMI
3988,JXC,JXC111409452,2241533,3468196,3,5,9~10~26~36~42,9,10,26,36,42,TU,01.01.2019,2.00,EUR,EUMI
3989,JXC,JXC111409452,2241533,3468196,2,8,1~6~16~19~39,1,6,16,19,39,TU,01.01.2019,2.00,EUR,EUMI
3990,JXC,JXC111409452,2241533,3468196,1,6,3~6~16~23~49,3,6,16,23,49,TU,01.01.2019,2.00,EUR,EUMI
3991,JXC,JXC111409452,2241533,3468196,5,12,4~9~24~27~45,4,9,24,27,45,TU,01.01.2019,2.00,EUR,EUMI
3992,JXC,JXC111409452,2241533,3468196,1,5,1~3~34~36~40,1,3,34,36,40,TU,01.01.2019,2.00,EUR,EUMI
3993,JXC,JXC111409453,2241533,3468196,2,5,4~5~11~15~19,4,5,11,15,19,TU,01.01.2019,2.00,EUR,EUMI
3994,JXC,JXC111409453,2241533,3468196,1,8,8~21~29~32~40,8,21,29,32,40,TU,01.01.2019,2.00,EUR,EUMI
3995,JXC,JXC111409453,2241533,3468196,5,8,16~21~29~31~50,16,21,29,31,50,TU,01.01.2019,2.00,EUR,EUMI
3996,JXC,JXC111409453,2241533,3468196,9,11,26~37~41~47~49,26,37,41,47,49,TU,01.01.2019,2.00,EUR,EUMI
3997,JXC,JXC111409453,2241533,3468196,7,9,1~3~31~38~49,1,3,31,38,49,TU,01.01.2019,2.00,EUR,EUMI
3998,JXC,JXC111409454,2241533,3468196,6,9,18~31~38~39~43,18,31,38,39,43,TU,01.01.2019,2.00,EUR,EUMI
3999,JXC,JXC111409454,2241533,3468196,2,9,1~8~17~22~25,1,8,17,22,25,TU,01.01.2019,2.00,EUR,EUMI
4000,JXC,JXC111409454,2241533,3468196,7,12,9~10~24~34~48,9,10,24,34,48,TU,01.01.2019,2.00,EUR,EUMI
4001,JXC,JXC111409454,2241533,3468196,3,10,3~7~22~32~44,3,7,22,32,44,TU,01.01.2019,2.00,EUR,EUMI
4002,JXC,JXC111409454,2241533,3468196,3,12,1~4~9~20~21,1,4,9,20,21,TU,01.01.2019,2.00,EUR,EUMI
4003,JXC,JXC111409455,2241533,3468196,1,8,1~12~32~39~50,1,12,32,39,50,TU,01.01.2019,2.00,EUR,EUMI
4004,JXC,JXC111409455,2241533,3468196,2,4,8~18~21~22~31,8,18,21,22,31,TU,01.01.2019,2.00,EUR,EUMI
4005,JXC,JXC111409455,2241533,3468196,3,10,10~11~15~18~43,10,11,15,18,43,TU,01.01.2019,2.00,EUR,EUMI
4006,JXC,JXC111409455,2241533,3468196,7,9,3~5~12~40~44,3,5,12,40,44,TU,01.01.2019,2.00,EUR,EUMI
4007,JXC,JXC111409455,2241533,3468196,4,7,18~21~22~25~33,18,21,22,25,33,TU,01.01.2019,2.00,EUR,EUMI
4008,JXC,JXC111409456,2241533,3468196,3,11,4~9~15~28~34,4,9,15,28,34,TU,01.01.2019,2.00,EUR,EUMI
4009,JXC,JXC111409456,2241533,3468196,10,11,34~37~40~43~48,34,37,40,43,48,TU,01.01.2019,2.00,EUR,EUMI
4010,JXC,JXC111409456,2241533,3468196,4,7,14~20~30~49~50,14,20,30,49,50,TU,01.01.2019,2.00,EUR,EUMI
4011,JXC,JXC111409456,2241533,3468196,3,7,9~20~22~33~49,9,20,22,33,49,TU,01.01.2019,2.00,EUR,EUMI
4012,JXC,JXC111409456,2241533,3468196,1,11,7~10~11~23~25,7,10,11,23,25,TU,01.01.2019,2.00,EUR,EUMI
4013,JXC,JXC111409457,2241533,3468196,5,11,17~22~27~35~45,17,22,27,35,45,TU,01.01.2019,2.00,EUR,EUMI
4014,JXC,JXC111409457,2241533,3468196,4,10,3~7~14~15~43,3,7,14,15,43,TU,01.01.2019,2.00,EUR,EUMI
4015,JXC,JXC111409457,2241533,3468196,2,8,21~28~29~39~45,21,28,29,39,45,TU,01.01.2019,2.00,EUR,EUMI
4016,JXC,JXC111409457,2241533,3468196,2,10,4~18~23~31~50,4,18,23,31,50,TU,01.01.2019,2.00,EUR,EUMI
4017,JXC,JXC111409457,2241533,3468196,6,12,5~25~33~38~49,5,25,33,38,49,TU,01.01.2019,2.00,EUR,EUMI
4018,JXC,JXC111409458,2241533,3468196,3,12,9~25~32~43~44,9,25,32,43,44,TU,01.01.2019,2.00,EUR,EUMI
4019,JXC,JXC111409458,2241533,3468196,5,10,2~5~14~16~18,2,5,14,16,18,TU,01.01.2019,2.00,EUR,EUMI
4020,JXC,JXC111409458,2241533,3468196,6,7,1~28~36~43~50,1,28,36,43,50,TU,01.01.2019,2.00,EUR,EUMI
4021,JXC,JXC111409458,2241533,3468196,4,11,4~36~41~42~50,4,36,41,42,50,TU,01.01.2019,2.00,EUR,EUMI
4022,JXC,JXC111409458,2241533,3468196,2,10,1~4~11~25~34,1,4,11,25,34,TU,01.01.2019,2.00,EUR,EUMI
4023,JXC,JXC111409459,2241533,3468196,4,8,10~12~15~16~19,10,12,15,16,19,TU,01.01.2019,2.00,EUR,EUMI
4024,JXC,JXC111409459,2241533,3468196,11,12,5~20~23~43~49,5,20,23,43,49,TU,01.01.2019,2.00,EUR,EUMI
4025,JXC,JXC111409459,2241533,3468196,10,12,6~16~26~41~50,6,16,26,41,50,TU,01.01.2019,2.00,EUR,EUMI
4026,JXC,JXC111409459,2241533,3468196,8,10,15~17~25~47~50,15,17,25,47,50,TU,01.01.2019,2.00,EUR,EUMI
4027,JXC,JXC111409459,2241533,3468196,2,11,12~30~32~43~47,12,30,32,43,47,TU,01.01.2019,2.00,EUR,EUMI
4028,JXC,JXC111409460,2241533,3468196,3,4,2~7~24~42~43,2,7,24,42,43,TU,01.01.2019,2.00,EUR,EUMI
4029,JXC,JXC111409460,2241533,3468196,1,9,1~6~30~42~46,1,6,30,42,46,TU,01.01.2019,2.00,EUR,EUMI
4030,JXC,JXC111409460,2241533,3468196,3,11,21~27~39~44~45,21,27,39,44,45,TU,01.01.2019,2.00,EUR,EUMI
4031,JXC,JXC111409460,2241533,3468196,6,12,9~12~14~26~31,9,12,14,26,31,TU,01.01.2019,2.00,EUR,EUMI
4032,JXC,JXC111409460,2241533,3468196,4,7,4~17~38~41~45,4,17,38,41,45,TU,01.01.2019,2.00,EUR,EUMI
4033,JXC,JXC111409462,2241533,3468196,7,11,3~14~24~26~31,3,14,24,26,31,TU,01.01.2019,2.00,EUR,EUMI
4034,JXC,JXC111409462,2241533,3468196,8,10,25~37~39~49~50,25,37,39,49,50,TU,01.01.2019,2.00,EUR,EUMI
4035,JXC,JXC111409462,2241533,3468196,4,5,20~21~30~44~46,20,21,30,44,46,TU,01.01.2019,2.00,EUR,EUMI
4036,JXC,JXC111409462,2241533,3468196,2,4,1~19~22~32~34,1,19,22,32,34,TU,01.01.2019,2.00,EUR,EUMI
4037,JXC,JXC111409462,2241533,3468196,7,11,5~8~36~42~49,5,8,36,42,49,TU,01.01.2019,2.00,EUR,EUMI
4038,JXC,JXC111409463,2241533,3468196,6,11,16~33~36~39~50,16,33,36,39,50,TU,01.01.2019,2.00,EUR,EUMI
4039,JXC,JXC111409463,2241533,3468196,11,12,8~25~42~44~49,8,25,42,44,49,TU,01.01.2019,2.00,EUR,EUMI
4040,JXC,JXC111409463,2241533,3468196,7,9,18~28~33~42~48,18,28,33,42,48,TU,01.01.2019,2.00,EUR,EUMI
4041,JXC,JXC111409463,2241533,3468196,2,11,9~13~28~35~43,9,13,28,35,43,TU,01.01.2019,2.00,EUR,EUMI
4042,JXC,JXC111409463,2241533,3468196,2,5,9~23~26~38~44,9,23,26,38,44,TU,01.01.2019,2.00,EUR,EUMI
4043,JXC,JXC111409464,2241533,3468196,3,10,22~23~28~35~46,22,23,28,35,46,TU,01.01.2019,2.00,EUR,EUMI
4044,JXC,JXC111409464,2241533,3468196,9,11,5~9~12~39~46,5,9,12,39,46,TU,01.01.2019,2.00,EUR,EUMI
4045,JXC,JXC111409464,2241533,3468196,4,10,6~14~34~35~40,6,14,34,35,40,TU,01.01.2019,2.00,EUR,EUMI
4046,JXC,JXC111409464,2241533,3468196,5,6,17~18~22~43~45,17,18,22,43,45,TU,01.01.2019,2.00,EUR,EUMI
4047,JXC,JXC111409464,2241533,3468196,11,12,1~15~16~33~34,1,15,16,33,34,TU,01.01.2019,2.00,EUR,EUMI
4048,JXC,JXC111409465,2241533,3468196,1,7,16~19~23~41~45,16,19,23,41,45,TU,01.01.2019,2.00,EUR,EUMI
4049,JXC,JXC111409465,2241533,3468196,2,9,21~22~23~36~44,21,22,23,36,44,TU,01.01.2019,2.00,EUR,EUMI
4050,JXC,JXC111409465,2241533,3468196,7,12,5~6~20~30~43,5,6,20,30,43,TU,01.01.2019,2.00,EUR,EUMI
4051,JXC,JXC111409465,2241533,3468196,1,10,30~42~48~49~50,30,42,48,49,50,TU,01.01.2019,2.00,EUR,EUMI
4052,JXC,JXC111409465,2241533,3468196,2,6,15~25~26~30~48,15,25,26,30,48,TU,01.01.2019,2.00,EUR,EUMI
4053,JXC,JXC111409467,2241533,3468196,1,3,22~24~37~39~48,22,24,37,39,48,TU,01.01.2019,2.00,EUR,EUMI
4054,JXC,JXC111409467,2241533,3468196,2,6,12~31~44~49~50,12,31,44,49,50,TU,01.01.2019,2.00,EUR,EUMI
4055,JXC,JXC111409467,2241533,3468196,5,8,17~22~25~47~48,17,22,25,47,48,TU,01.01.2019,2.00,EUR,EUMI
4056,JXC,JXC111409467,2241533,3468196,3,4,22~40~44~48~49,22,40,44,48,49,TU,01.01.2019,2.00,EUR,EUMI
4057,JXC,JXC111409467,2241533,3468196,4,12,10~22~34~44~50,10,22,34,44,50,TU,01.01.2019,2.00,EUR,EUMI
4058,JXC,JXC111409469,2241533,3468196,5,9,13~29~36~44~49,13,29,36,44,49,TU,01.01.2019,2.00,EUR,EUMI
4059,JXC,JXC111409469,2241533,3468196,10,11,8~9~21~30~42,8,9,21,30,42,TU,01.01.2019,2.00,EUR,EUMI
4060,JXC,JXC111409469,2241533,3468196,1,6,7~13~34~36~50,7,13,34,36,50,TU,01.01.2019,2.00,EUR,EUMI
4061,JXC,JXC111409469,2241533,3468196,1,11,13~29~36~39~48,13,29,36,39,48,TU,01.01.2019,2.00,EUR,EUMI
4062,JXC,JXC111409469,2241533,3468196,2,6,5~12~28~45~50,5,12,28,45,50,TU,01.01.2019,2.00,EUR,EUMI
4063,JXC,JXC111409470,2241533,3468196,5,12,9~10~14~20~26,9,10,14,20,26,TU,01.01.2019,2.00,EUR,EUMI
4064,JXC,JXC111409470,2241533,3468196,1,11,2~3~20~38~44,2,3,20,38,44,TU,01.01.2019,2.00,EUR,EUMI
4065,JXC,JXC111409470,2241533,3468196,7,12,1~3~20~26~42,1,3,20,26,42,TU,01.01.2019,2.00,EUR,EUMI
4066,JXC,JXC111409470,2241533,3468196,5,9,2~19~24~32~45,2,19,24,32,45,TU,01.01.2019,2.00,EUR,EUMI
4067,JXC,JXC111409470,2241533,3468196,1,7,5~17~26~29~30,5,17,26,29,30,TU,01.01.2019,2.00,EUR,EUMI
4068,JXC,JXC111409471,2241533,3468196,5,8,4~9~18~27~44,4,9,18,27,44,TU,01.01.2019,2.00,EUR,EUMI
4069,JXC,JXC111409471,2241533,3468196,2,8,8~18~36~43~44,8,18,36,43,44,TU,01.01.2019,2.00,EUR,EUMI
4070,JXC,JXC111409471,2241533,3468196,1,8,13~20~32~45~48,13,20,32,45,48,TU,01.01.2019,2.00,EUR,EUMI
4071,JXC,JXC111409471,2241533,3468196,10,11,13~14~18~43~48,13,14,18,43,48,TU,01.01.2019,2.00,EUR,EUMI
4072,JXC,JXC111409471,2241533,3468196,1,3,20~23~36~44~48,20,23,36,44,48,TU,01.01.2019,2.00,EUR,EUMI
4073,JXC,JXC111409472,2241533,3468208,5,11,4~11~25~37~48,4,11,25,37,48,TU,01.01.2019,2.00,EUR,EUMI
4074,JXC,JXC111409472,2241533,3468208,2,10,5~8~37~44~45,5,8,37,44,45,TU,01.01.2019,2.00,EUR,EUMI
4075,JXC,JXC111409472,2241533,3468208,5,8,2~8~13~16~17,2,8,13,16,17,TU,01.01.2019,2.00,EUR,EUMI
4076,JXC,JXC111409472,2241533,3468208,8,12,1~6~7~8~35,1,6,7,8,35,TU,01.01.2019,2.00,EUR,EUMI
4077,JXC,JXC111409472,2241533,3468208,1,12,14~29~41~42~49,14,29,41,42,49,TU,01.01.2019,2.00,EUR,EUMI
4078,JXC,JXC111409474,2241533,3468208,6,9,4~9~23~34~49,4,9,23,34,49,TU,01.01.2019,2.00,EUR,EUMI
4079,JXC,JXC111409474,2241533,3468208,4,9,11~18~28~29~32,11,18,28,29,32,TU,01.01.2019,2.00,EUR,EUMI
4080,JXC,JXC111409474,2241533,3468208,1,4,4~20~35~37~45,4,20,35,37,45,TU,01.01.2019,2.00,EUR,EUMI
4081,JXC,JXC111409474,2241533,3468208,2,12,22~37~42~48~49,22,37,42,48,49,TU,01.01.2019,2.00,EUR,EUMI
4082,JXC,JXC111409474,2241533,3468208,3,7,6~18~28~47~48,6,18,28,47,48,TU,01.01.2019,2.00,EUR,EUMI
4083,JXC,JXC111409475,2241533,3468208,3,6,16~24~30~41~43,16,24,30,41,43,TU,01.01.2019,2.00,EUR,EUMI
4084,JXC,JXC111409475,2241533,3468208,4,10,1~8~15~34~50,1,8,15,34,50,TU,01.01.2019,2.00,EUR,EUMI
4085,JXC,JXC111409475,2241533,3468208,1,12,2~15~28~31~43,2,15,28,31,43,TU,01.01.2019,2.00,EUR,EUMI
4086,JXC,JXC111409475,2241533,3468208,3,5,7~26~39~48~49,7,26,39,48,49,TU,01.01.2019,2.00,EUR,EUMI
4087,JXC,JXC111409475,2241533,3468208,3,9,3~19~31~38~50,3,19,31,38,50,TU,01.01.2019,2.00,EUR,EUMI
4088,JXC,JXC111409476,2241533,3468208,2,9,1~16~24~35~46,1,16,24,35,46,TU,01.01.2019,2.00,EUR,EUMI
4089,JXC,JXC111409476,2241533,3468208,1,9,3~15~17~33~44,3,15,17,33,44,TU,01.01.2019,2.00,EUR,EUMI
4090,JXC,JXC111409476,2241533,3468208,1,11,13~24~27~44~47,13,24,27,44,47,TU,01.01.2019,2.00,EUR,EUMI
4091,JXC,JXC111409476,2241533,3468208,2,7,11~23~31~45~48,11,23,31,45,48,TU,01.01.2019,2.00,EUR,EUMI
4092,JXC,JXC111409476,2241533,3468208,8,10,2~4~7~10~29,2,4,7,10,29,TU,01.01.2019,2.00,EUR,EUMI
4093,JXC,JXC111409477,2241533,3468208,3,12,15~16~32~41~43,15,16,32,41,43,TU,01.01.2019,2.00,EUR,EUMI
4094,JXC,JXC111409477,2241533,3468208,5,10,12~14~35~44~49,12,14,35,44,49,TU,01.01.2019,2.00,EUR,EUMI
4095,JXC,JXC111409477,2241533,3468208,9,12,6~13~40~46~47,6,13,40,46,47,TU,01.01.2019,2.00,EUR,EUMI
4096,JXC,JXC111409477,2241533,3468208,4,9,12~22~26~40~50,12,22,26,40,50,TU,01.01.2019,2.00,EUR,EUMI
4097,JXC,JXC111409477,2241533,3468208,1,3,3~11~47~49~50,3,11,47,49,50,TU,01.01.2019,2.00,EUR,EUMI
4098,JXC,JXC111409478,2241533,3468208,11,12,9~17~18~35~45,9,17,18,35,45,TU,01.01.2019,2.00,EUR,EUMI
4099,JXC,JXC111409478,2241533,3468208,3,8,30~31~35~36~44,30,31,35,36,44,TU,01.01.2019,2.00,EUR,EUMI
4100,JXC,JXC111409478,2241533,3468208,1,3,8~32~35~48~50,8,32,35,48,50,TU,01.01.2019,2.00,EUR,EUMI
4101,JXC,JXC111409478,2241533,3468208,9,12,11~19~24~31~37,11,19,24,31,37,TU,01.01.2019,2.00,EUR,EUMI
4102,JXC,JXC111409478,2241533,3468208,5,6,4~6~14~20~25,4,6,14,20,25,TU,01.01.2019,2.00,EUR,EUMI
