row_no,mandator,provider_id,customer_id,syndicate_id,star1,star2,num_combi,n1,n2,n3,n4,n5,drawtype,drawdate,stake,currency,gametype
16564,JXC,JXC112433478,1798511,,3,12,11~24~28~39~42,11,24,28,39,42,TU,01.01.2019,2.00,EUR,EUMI
16565,JXC,JXC112433509,1813084,,2,9,14~23~26~28~30,14,23,26,28,30,TU,01.01.2019,2.00,EUR,EUMI
16566,JXC,JXC112433509,1813084,,5,10,1~14~19~22~25,1,14,19,22,25,TU,01.01.2019,2.00,EUR,EUMI
16567,JXC,JXC112433509,1813084,,2,8,13~16~18~33~47,13,16,18,33,47,TU,01.01.2019,2.00,EUR,EUMI
16568,JXC,JXC112433509,1813084,,1,9,7~23~24~35~50,7,23,24,35,50,TU,01.01.2019,2.00,EUR,EUMI
16569,JXC,JXC112433509,1813084,,1,6,9~14~15~32~42,9,14,15,32,42,TU,01.01.2019,2.00,EUR,EUMI
16570,JXC,JXC112433511,749175,,6,8,9~12~36~39~42,9,12,36,39,42,TU,01.01.2019,2.00,EUR,EUMI
16571,JXC,JXC112433511,749175,,2,3,5~7~13~31~33,5,7,13,31,33,TU,01.01.2019,2.00,EUR,EUMI
16572,JXC,JXC112433511,749175,,10,11,17~22~32~37~44,17,22,32,37,44,TU,01.01.2019,2.00,EUR,EUMI
16573,JXC,JXC112433511,749175,,6,11,4~13~23~36~42,4,13,23,36,42,TU,01.01.2019,2.00,EUR,EUMI
16574,JXC,JXC112433511,749175,,4,8,3~9~12~18~46,3,9,12,18,46,TU,01.01.2019,2.00,EUR,EUMI
16575,JXC,JXC112433634,646616,,1,4,1~9~19~24~34,1,9,19,24,34,TU,01.01.2019,2.00,EUR,EUMI
16576,JXC,JXC112433936,595286,,3,12,7~16~21~25~43,7,16,21,25,43,TU,01.01.2019,2.00,EUR,EUMI
16577,JXC,JXC112433936,595286,,1,6,1~10~21~24~32,1,10,21,24,32,TU,01.01.2019,2.00,EUR,EUMI
16578,JXC,JXC112433936,595286,,7,8,9~13~18~22~49,9,13,18,22,49,TU,01.01.2019,2.00,EUR,EUMI
16579,JXC,JXC112433936,595286,,10,11,11~28~29~31~50,11,28,29,31,50,TU,01.01.2019,2.00,EUR,EUMI
16580,JXC,JXC112433936,595286,,5,12,14~20~38~47~49,14,20,38,47,49,TU,01.01.2019,2.00,EUR,EUMI
16581,JXC,JXC112433938,595286,,5,10,3~13~33~36~43,3,13,33,36,43,TU,01.01.2019,2.00,EUR,EUMI
16582,JXC,JXC112433938,595286,,7,11,16~19~27~35~47,16,19,27,35,47,TU,01.01.2019,2.00,EUR,EUMI
16583,JXC,JXC112433938,595286,,4,12,20~27~42~43~48,20,27,42,43,48,TU,01.01.2019,2.00,EUR,EUMI
16584,JXC,JXC112433938,595286,,9,11,3~4~20~39~43,3,4,20,39,43,TU,01.01.2019,2.00,EUR,EUMI
16585,JXC,JXC112433938,595286,,6,10,15~32~42~45~50,15,32,42,45,50,TU,01.01.2019,2.00,EUR,EUMI
16586,JXC,JXC112434121,1749487,,3,7,14~21~22~32~37,14,21,22,32,37,TU,01.01.2019,2.00,EUR,EUMI
16587,JXC,JXC112434121,1749487,,3,9,16~32~38~44~49,16,32,38,44,49,TU,01.01.2019,2.00,EUR,EUMI
16588,JXC,JXC112434121,1749487,,1,9,8~24~26~44~47,8,24,26,44,47,TU,01.01.2019,2.00,EUR,EUMI
16589,JXC,JXC112434154,1805789,,9,10,1~6~12~16~26,1,6,12,16,26,TU,01.01.2019,2.00,EUR,EUMI
16590,JXC,JXC112434154,1805789,,2,6,12~15~19~31~41,12,15,19,31,41,TU,01.01.2019,2.00,EUR,EUMI
16591,JXC,JXC112434154,1805789,,1,6,6~9~12~17~26,6,9,12,17,26,TU,01.01.2019,2.00,EUR,EUMI
16592,JXC,JXC112434154,1805789,,1,12,1~5~14~15~23,1,5,14,15,23,TU,01.01.2019,2.00,EUR,EUMI
16593,JXC,JXC112434154,1805789,,5,11,8~24~27~43~45,8,24,27,43,45,TU,01.01.2019,2.00,EUR,EUMI
16594,JXC,JXC112434297,1073311,,1,7,1~7~20~25~27,1,7,20,25,27,TU,01.01.2019,2.00,EUR,EUMI
16595,JXC,JXC112434361,1992397,,1,6,21~28~29~43~46,21,28,29,43,46,TU,01.01.2019,2.00,EUR,EUMI
16596,JXC,JXC112434409,40271,,7,8,1~35~42~45~46,1,35,42,45,46,TU,01.01.2019,2.00,EUR,EUMI
16597,JXC,JXC112434409,40271,,1,6,8~11~29~40~47,8,11,29,40,47,TU,01.01.2019,2.00,EUR,EUMI
16598,JXC,JXC112434450,1134713,,5,7,7~13~27~38~49,7,13,27,38,49,TU,01.01.2019,2.00,EUR,EUMI
16599,JXC,JXC112434450,1134713,,6,11,8~13~38~46~47,8,13,38,46,47,TU,01.01.2019,2.00,EUR,EUMI
16600,JXC,JXC112434450,1134713,,6,11,3~13~37~38~47,3,13,37,38,47,TU,01.01.2019,2.00,EUR,EUMI
16601,JXC,JXC112434450,1134713,,2,12,2~7~18~27~47,2,7,18,27,47,TU,01.01.2019,2.00,EUR,EUMI
16602,JXC,JXC112434450,1134713,,6,9,6~25~33~36~48,6,25,33,36,48,TU,01.01.2019,2.00,EUR,EUMI
16603,JXC,JXC112434452,1134713,,7,11,7~24~32~48~49,7,24,32,48,49,TU,01.01.2019,2.00,EUR,EUMI
16604,JXC,JXC112434452,1134713,,5,10,7~19~27~31~48,7,19,27,31,48,TU,01.01.2019,2.00,EUR,EUMI
16605,JXC,JXC112434452,1134713,,2,11,13~33~39~41~45,13,33,39,41,45,TU,01.01.2019,2.00,EUR,EUMI
16606,JXC,JXC112434452,1134713,,7,10,22~26~32~43~47,22,26,32,43,47,TU,01.01.2019,2.00,EUR,EUMI
16607,JXC,JXC112434452,1134713,,5,10,2~27~40~41~48,2,27,40,41,48,TU,01.01.2019,2.00,EUR,EUMI
16608,JXC,JXC112434506,1452240,,9,11,12~17~24~40~50,12,17,24,40,50,TU,01.01.2019,2.00,EUR,EUMI
16609,JXC,JXC112434506,1452240,,1,4,5~19~23~39~45,5,19,23,39,45,TU,01.01.2019,2.00,EUR,EUMI
16610,JXC,JXC112434506,1452240,,7,11,16~23~29~41~44,16,23,29,41,44,TU,01.01.2019,2.00,EUR,EUMI
16611,JXC,JXC112434506,1452240,,2,12,9~22~45~47~49,9,22,45,47,49,TU,01.01.2019,2.00,EUR,EUMI
16612,JXC,JXC112434506,1452240,,10,12,2~20~27~34~46,2,20,27,34,46,TU,01.01.2019,2.00,EUR,EUMI
16613,JXC,JXC112434870,28953,,3,9,11~15~25~34~46,11,15,25,34,46,TU,01.01.2019,2.00,EUR,EUMI
16614,JXC,JXC112434870,28953,,2,5,6~20~26~38~50,6,20,26,38,50,TU,01.01.2019,2.00,EUR,EUMI
16615,JXC,JXC112434870,28953,,5,11,3~16~24~31~49,3,16,24,31,49,TU,01.01.2019,2.00,EUR,EUMI
16616,JXC,JXC112434870,28953,,5,8,6~19~26~38~50,6,19,26,38,50,TU,01.01.2019,2.00,EUR,EUMI
16617,JXC,JXC112434870,28953,,4,7,1~16~23~30~50,1,16,23,30,50,TU,01.01.2019,2.00,EUR,EUMI
16618,JXC,JXC112434955,1529789,,5,7,3~4~6~30~36,3,4,6,30,36,TU,01.01.2019,2.00,EUR,EUMI
16619,JXC,JXC112435342,405829,,1,5,4~10~18~22~28,4,10,18,22,28,TU,01.01.2019,2.00,EUR,EUMI
16620,JXC,JXC112435342,405829,,9,11,1~14~20~24~37,1,14,20,24,37,TU,01.01.2019,2.00,EUR,EUMI
16621,JXC,JXC112435342,405829,,1,8,5~14~20~33~45,5,14,20,33,45,TU,01.01.2019,2.00,EUR,EUMI
16622,JXC,JXC112435340,405829,,2,11,6~13~14~21~29,6,13,14,21,29,TU,01.01.2019,2.00,EUR,EUMI
16623,JXC,JXC112435340,405829,,2,11,6~13~14~21~41,6,13,14,21,41,TU,01.01.2019,2.00,EUR,EUMI
16624,JXC,JXC112435340,405829,,2,11,6~13~14~29~41,6,13,14,29,41,TU,01.01.2019,2.00,EUR,EUMI
16625,JXC,JXC112435340,405829,,2,11,6~13~21~29~41,6,13,21,29,41,TU,01.01.2019,2.00,EUR,EUMI
16626,JXC,JXC112435340,405829,,2,11,6~14~21~29~41,6,14,21,29,41,TU,01.01.2019,2.00,EUR,EUMI
16627,JXC,JXC112435340,405829,,2,11,13~14~21~29~41,13,14,21,29,41,TU,01.01.2019,2.00,EUR,EUMI
16628,JXC,JXC112435451,688893,,1,10,5~12~24~26~30,5,12,24,26,30,TU,01.01.2019,2.00,EUR,EUMI
16629,JXC,JXC112435451,688893,,5,11,13~22~28~41~44,13,22,28,41,44,TU,01.01.2019,2.00,EUR,EUMI
16630,JXC,JXC112435451,688893,,3,12,3~23~26~30~48,3,23,26,30,48,TU,01.01.2019,2.00,EUR,EUMI
16631,JXC,JXC112435534,731989,3469912,3,9,25~37~41~45~47,25,37,41,45,47,TU,01.01.2019,2.00,EUR,EUMI
16632,JXC,JXC112435534,731989,3469912,7,10,2~8~22~28~34,2,8,22,28,34,TU,01.01.2019,2.00,EUR,EUMI
16633,JXC,JXC112435534,731989,3469912,3,7,4~30~32~41~44,4,30,32,41,44,TU,01.01.2019,2.00,EUR,EUMI
16634,JXC,JXC112435534,731989,3469912,3,4,3~16~19~22~37,3,16,19,22,37,TU,01.01.2019,2.00,EUR,EUMI
16635,JXC,JXC112435534,731989,3469912,2,11,6~12~20~36~42,6,12,20,36,42,TU,01.01.2019,2.00,EUR,EUMI
16636,JXC,JXC112435543,731989,3469912,9,11,9~25~27~30~35,9,25,27,30,35,TU,01.01.2019,2.00,EUR,EUMI
16637,JXC,JXC112435543,731989,3469912,2,10,4~16~30~38~45,4,16,30,38,45,TU,01.01.2019,2.00,EUR,EUMI
16638,JXC,JXC112435543,731989,3469912,7,11,8~9~20~28~38,8,9,20,28,38,TU,01.01.2019,2.00,EUR,EUMI
16639,JXC,JXC112435543,731989,3469912,1,7,14~21~27~30~31,14,21,27,30,31,TU,01.01.2019,2.00,EUR,EUMI
16640,JXC,JXC112435544,731989,3469912,9,11,3~9~22~23~27,3,9,22,23,27,TU,01.01.2019,2.00,EUR,EUMI
16641,JXC,JXC112435544,731989,3469912,4,5,19~22~40~41~45,19,22,40,41,45,TU,01.01.2019,2.00,EUR,EUMI
16642,JXC,JXC112435544,731989,3469912,8,10,12~14~17~42~49,12,14,17,42,49,TU,01.01.2019,2.00,EUR,EUMI
16643,JXC,JXC112435544,731989,3469912,2,3,5~23~24~32~42,5,23,24,32,42,TU,01.01.2019,2.00,EUR,EUMI
16644,JXC,JXC112435544,731989,3469912,2,12,1~15~18~27~30,1,15,18,27,30,TU,01.01.2019,2.00,EUR,EUMI
16645,JXC,JXC112435546,731989,3469912,4,10,7~9~12~32~37,7,9,12,32,37,TU,01.01.2019,2.00,EUR,EUMI
16646,JXC,JXC112435546,731989,3469912,4,8,10~15~29~31~40,10,15,29,31,40,TU,01.01.2019,2.00,EUR,EUMI
16647,JXC,JXC112435546,731989,3469912,4,9,2~5~7~10~28,2,5,7,10,28,TU,01.01.2019,2.00,EUR,EUMI
